highway,maxspeed,lanes,oneway,latitude,longitude
service,Unknown,Unknown,Unknown,40.7128,-74.006
residential,20 mph,1,yes,40.7128,-74.006
residential,20 mph,3,no,40.7128,-74.006
steps,Unknown,Unknown,Unknown,40.7128,-74.006
motorway_link,25 mph,2,yes,40.7128,-74.006
motorway_link,25 mph,2,yes,40.7128,-74.006
trunk_link,25 mph,1,yes,40.7128,-74.006
motorway,35 mph,2,yes,40.7128,-74.006
footway,Unknown,Unknown,Unknown,40.7128,-74.006
motorway_link,25 mph,2,yes,40.7128,-74.006
motorway_link,25 mph,2,yes,40.7128,-74.006
motorway_link,25 mph,2,yes,40.7128,-74.006
motorway_link,25 mph,2,yes,40.7128,-74.006
motorway_link,25 mph,Unknown,yes,40.7128,-74.006
motorway_link,25 mph,1,yes,40.7128,-74.006
motorway_link,25 mph,2,yes,40.7128,-74.006
residential,20 mph,1,yes,40.7128,-74.006
unclassified,20 mph,1,yes,40.7128,-74.006
trunk,30 mph,2,yes,40.7128,-74.006
residential,25 mph,2,yes,40.7128,-74.006
secondary,25 mph,2,yes,40.7128,-74.006
unclassified,20 mph,1,yes,40.7128,-74.006
residential,20 mph,1,yes,40.7128,-74.006
service,Unknown,Unknown,Unknown,40.7128,-74.006
residential,20 mph,2,yes,40.7128,-74.006
service,Unknown,Unknown,Unknown,40.7128,-74.006
primary,25 mph,3,yes,40.7128,-74.006
residential,20 mph,Unknown,yes,40.7128,-74.006
pedestrian,Unknown,Unknown,no,40.7128,-74.006
residential,20 mph,1,yes,40.7128,-74.006
primary,25 mph,2,Unknown,40.7128,-74.006
residential,Unknown,Unknown,yes,40.7128,-74.006
secondary,20 mph,2,yes,40.7128,-74.006
residential,25 mph,1,yes,40.7128,-74.006
primary,20 mph,3,Unknown,40.7128,-74.006
residential,20 mph,1,yes,40.7128,-74.006
residential,20 mph,1,yes,40.7128,-74.006
residential,25 mph,1,yes,40.7128,-74.006
pedestrian,Unknown,Unknown,no,40.7128,-74.006
pedestrian,20 mph,Unknown,yes,40.7128,-74.006
residential,20 mph,1,yes,40.7128,-74.006
residential,25 mph,Unknown,yes,40.7128,-74.006
residential,25 mph,1,yes,40.7128,-74.006
residential,25 mph,1,yes,40.7128,-74.006
residential,25 mph,Unknown,yes,40.7128,-74.006
residential,25 mph,1,yes,40.7128,-74.006
residential,25 mph,1,yes,40.7128,-74.006
service,20 mph,1,yes,40.7128,-74.006
service,20 mph,Unknown,Unknown,40.7128,-74.006
pedestrian,20 mph,Unknown,yes,40.7128,-74.006
residential,20 mph,1,yes,40.7128,-74.006
residential,20 mph,1,yes,40.7128,-74.006
residential,20 mph,1,yes,40.7128,-74.006
secondary,20 mph,Unknown,no,40.7128,-74.006
residential,25 mph,1,yes,40.7128,-74.006
primary,20 mph,2,Unknown,40.7128,-74.006
residential,20 mph,2,Unknown,40.7128,-74.006
unclassified,20 mph,1,yes,40.7128,-74.006
residential,20 mph,1,yes,40.7128,-74.006
residential,Unknown,Unknown,yes,40.7128,-74.006
pedestrian,Unknown,Unknown,Unknown,40.7128,-74.006
residential,20 mph,1,yes,40.7128,-74.006
residential,20 mph,1,yes,40.7128,-74.006
secondary,20 mph,Unknown,yes,40.7128,-74.006
residential,20 mph,1,yes,40.7128,-74.006
residential,25 mph,Unknown,yes,40.7128,-74.006
residential,25 mph,Unknown,yes,40.7128,-74.006
residential,25 mph,1,yes,40.7128,-74.006
residential,25 mph,1,yes,40.7128,-74.006
residential,25 mph,1,yes,40.7128,-74.006
residential,Unknown,Unknown,yes,40.7128,-74.006
residential,25 mph,Unknown,yes,40.7128,-74.006
residential,20 mph,1,yes,40.7128,-74.006
secondary,25 mph,3,no,40.7128,-74.006
service,20 mph,Unknown,yes,40.7128,-74.006
residential,25 mph,1,yes,40.7128,-74.006
residential,15 mph,1,yes,40.7128,-74.006
primary,25 mph,2,yes,40.7128,-74.006
residential,20 mph,2,yes,40.7128,-74.006
residential,25 mph,Unknown,yes,40.7128,-74.006
service,20 mph,Unknown,Unknown,40.7128,-74.006
primary,20 mph,Unknown,yes,40.7128,-74.006
residential,20 mph,1,yes,40.7128,-74.006
residential,20 mph,Unknown,yes,40.7128,-74.006
residential,20 mph,1,yes,40.7128,-74.006
secondary,20 mph,1,yes,40.7128,-74.006
secondary,25 mph,2,no,40.7128,-74.006
residential,25 mph,1,yes,40.7128,-74.006
residential,20 mph,1,yes,40.7128,-74.006
residential,25 mph,Unknown,yes,40.7128,-74.006
residential,25 mph,1,yes,40.7128,-74.006
residential,25 mph,Unknown,yes,40.7128,-74.006
pedestrian,Unknown,Unknown,no,40.7128,-74.006
residential,25 mph,Unknown,yes,40.7128,-74.006
residential,20 mph,1,yes,40.7128,-74.006
pedestrian,Unknown,Unknown,Unknown,40.7128,-74.006
residential,20 mph,1,yes,40.7128,-74.006
residential,25 mph,1,yes,40.7128,-74.006
secondary,25 mph,1,yes,40.7128,-74.006
residential,25 mph,Unknown,yes,40.7128,-74.006
residential,20 mph,1,yes,40.7128,-74.006
residential,25 mph,Unknown,yes,40.7128,-74.006
pedestrian,Unknown,Unknown,Unknown,40.7128,-74.006
trunk,20 mph,2,yes,40.7128,-74.006
residential,20 mph,1,yes,40.7128,-74.006
residential,25 mph,2,no,40.7128,-74.006
primary,25 mph,4,yes,40.7128,-74.006
residential,20 mph,2,no,40.7128,-74.006
residential,25 mph,Unknown,yes,40.7128,-74.006
unclassified,20 mph,1,yes,40.7128,-74.006
residential,20 mph,1,yes,40.7128,-74.006
secondary,20 mph,2,yes,40.7128,-74.006
service,Unknown,Unknown,yes,40.7128,-74.006
