highway,maxspeed,lanes,oneway,latitude,longitude
residential,20 mph,1,yes,40.7259372,-73.9757589
residential,25 mph,1,yes,40.733452,-73.9973157
service,25 mph,1,no,40.7349901,-73.9993119
residential,20 mph,1,yes,40.7041428,-74.0086478
residential,25 mph,2,no,40.7713099,-73.9859587
residential,20 mph,3,no,40.711239,-74.0149586
motorway_link,25 mph,2,yes,40.7085204,-73.999069
motorway_link,25 mph,2,yes,40.7239016,-74.006384
trunk_link,25 mph,1,yes,40.7118576,-74.0039221
secondary,25 mph,2,yes,40.7591168,-73.9972659
motorway,35 mph,2,yes,40.7226851,-74.0071396
motorway_link,25 mph,2,yes,40.7076138,-74.0153261
motorway_link,25 mph,2,yes,40.7206924,-74.0082514
motorway_link,25 mph,2,yes,40.7205569,-74.0071321
motorway_link,25 mph,2,yes,40.7239112,-74.00773
service,20 mph,1,yes,40.7831839,-73.9692493
motorway_link,25 mph,1,yes,40.7243665,-74.0065408
motorway_link,25 mph,1,yes,40.7098297,-74.0018446
motorway_link,25 mph,2,yes,40.7237342,-74.0075786
service,20 mph,2,yes,40.7981516,-73.9527915
tertiary,15 mph,2,no,40.7603494,-73.9514832
motorway,35 mph,2,reversible,40.7650216,-74.0146568
unclassified,15 mph,1,yes,40.7561865,-73.9550525
residential,20 mph,1,yes,40.71061,-74.0046942
unclassified,20 mph,1,yes,40.7065324,-74.0058613
trunk,30 mph,2,yes,40.7122387,-74.0046676
residential,25 mph,2,yes,40.7157674,-73.9838911
unclassified,25 mph,1,yes,40.7463106,-74.0067081
residential,25 mph,1,yes,40.7139021,-73.9808685
residential,25 mph,3,yes,40.7637836,-73.9737952
residential,25 mph,1,yes,40.7459834,-73.9884568
secondary,25 mph,4,no,40.781887,-73.9715672
secondary,25 mph,2,yes,40.7203964,-74.0010397
secondary,25 mph,4,no,40.7807114,-73.9584526
unclassified,20 mph,1,yes,40.7080998,-74.0072454
residential,25 mph,1,yes,40.7369225,-73.9979643
residential,25 mph,1,yes,40.739104,-74.0030968
residential,20 mph,1,yes,40.7059602,-74.0088224
residential,20 mph,2,yes,40.7156411,-74.0150031
unclassified,25 mph,1,yes,40.7454274,-74.0082199
residential,25 mph,1,yes,40.7688176,-73.9624688
residential,25 mph,1,yes,40.7314679,-74.0020448
primary,25 mph,3,yes,40.7195488,-73.9917492
residential,25 mph,1,yes,40.716715,-73.9814313
residential,20 mph,1,yes,40.7166783,-74.0069888
residential,25 mph,1,yes,40.743114,-73.9873944
