id,type,name,highway,maxspeed,lanes,oneway
5668997,way,Jones Alley,service,Unknown,Unknown,Unknown
5668999,way,Old Slip,residential,20 mph,1,yes
5669013,way,Liberty Street,residential,20 mph,3,no
5669125,way,Unknown,steps,Unknown,Unknown,Unknown
5669194,way,Unknown,motorway_link,25 mph,2,yes
5669205,way,Unknown,motorway_link,25 mph,2,yes
5669206,way,Unknown,trunk_link,25 mph,1,yes
5669279,way,Holland Tunnel,motorway,35 mph,2,yes
5669282,way,Unknown,footway,Unknown,Unknown,Unknown
5669304,way,Unknown,motorway_link,25 mph,2,yes
5669320,way,Unknown,motorway_link,25 mph,2,yes
5669321,way,Unknown,motorway_link,25 mph,2,yes
5669322,way,Unknown,motorway_link,25 mph,2,yes
5669348,way,Unknown,motorway_link,25 mph,Unknown,yes
5669420,way,Unknown,motorway_link,25 mph,1,yes
5669486,way,Unknown,motorway_link,25 mph,2,yes
5669631,way,Spruce Street,residential,20 mph,1,yes
5669633,way,Fletcher Street,unclassified,20 mph,1,yes
5669636,way,Brooklyn Bridge,trunk,30 mph,2,yes
5669639,way,Pitt Street,residential,25 mph,2,yes
5669742,way,Broadway,secondary,25 mph,2,yes
5669804,way,Platt Street,unclassified,20 mph,1,yes
5669815,way,Hanover Street,residential,20 mph,1,yes
5669826,way,Unknown,service,Unknown,Unknown,Unknown
5669829,way,Murray Street,residential,20 mph,2,yes
5669837,way,Great Jones Alley,service,Unknown,Unknown,Unknown
5669857,way,Delancey Street,primary,25 mph,3,yes
5669866,way,Thomas Street,residential,20 mph,Unknown,yes
5669870,way,Pine Street,pedestrian,Unknown,Unknown,no
5669882,way,Park Place,residential,20 mph,1,yes
5669892,way,Kenmare Street,primary,25 mph,2,Unknown
5669899,way,6th Avenue,residential,Unknown,Unknown,yes
5669922,way,6th Avenue,secondary,20 mph,2,yes
5669925,way,Congress Street,residential,25 mph,1,yes
5669933,way,State Street,primary,20 mph,3,Unknown
5669935,way,Duane Street,residential,20 mph,1,yes
5669938,way,Duane Street,residential,20 mph,1,yes
5669978,way,Great Jones Street,residential,25 mph,1,yes
5670037,way,Freeman Alley,pedestrian,Unknown,Unknown,no
5670047,way,Broad Street,pedestrian,20 mph,Unknown,yes
5670058,way,Oliver Street,residential,20 mph,1,yes
5670070,way,Gouverneur Street,residential,25 mph,Unknown,yes
5670076,way,Stanton Street,residential,25 mph,1,yes
5670077,way,Stanton Street,residential,25 mph,1,yes
5670079,way,Broome Street,residential,25 mph,Unknown,yes
5670084,way,Broome Street,residential,25 mph,1,yes
5670092,way,Mott Street,residential,25 mph,1,yes
5670108,way,Marketfield Street,service,20 mph,1,yes
5670118,way,Cortlandt Alley,service,20 mph,Unknown,Unknown
5670121,way,Exchange Place,pedestrian,20 mph,Unknown,yes
5670167,way,Peck Slip,residential,20 mph,1,yes
5670168,way,Peck Slip,residential,20 mph,1,yes
5670174,way,Cliff Street,residential,20 mph,1,yes
5670189,way,East Broadway,secondary,20 mph,Unknown,no
5670193,way,Wooster Street,residential,25 mph,1,yes
5670205,way,Water Street,primary,20 mph,2,Unknown
5670238,way,2nd Place,residential,20 mph,2,Unknown
5670267,way,Cedar Street,unclassified,20 mph,1,yes
5670268,way,Cedar Street,residential,20 mph,1,yes
5670299,way,Gouverneur Slip East,residential,Unknown,Unknown,yes
5670313,way,Extra Place,pedestrian,Unknown,Unknown,Unknown
5670366,way,Mulberry Street,residential,20 mph,1,yes
5670418,way,Desbrosses Street,residential,20 mph,1,yes
5670432,way,Greenwich Street,secondary,20 mph,Unknown,yes
5670440,way,Hubert Street,residential,20 mph,1,yes
5670462,way,Dominick Street,residential,25 mph,Unknown,yes
5670488,way,Thompson Street,residential,25 mph,Unknown,yes
5670490,way,Thompson Street,residential,25 mph,1,yes
5670498,way,Minetta Street,residential,25 mph,1,yes
5670514,way,Downing Street,residential,25 mph,1,yes
5670515,way,Gouverneur Slip West,residential,Unknown,Unknown,yes
5670532,way,Rivington Street,residential,25 mph,Unknown,yes
5670536,way,Catherine Street,residential,20 mph,1,yes
5670574,way,Samuel Dickstein Plaza,secondary,25 mph,3,no
